ALGORITHM,ELEMENT ARRAY TYPE,ARRAY ORDER,START TIME,END TIME,ELAPSED TIME
bubbleSortPassPerItem,Byte,random,142613476282204,142613479612832,3330628
bubbleSortPassPerItem,Byte,random,142613480392643,142613484884209,4491566
bubbleSortPassPerItem,Byte,random,142613485042635,142613488531879,3489244
bubbleSortPassPerItem,Byte,random,142613488702433,142613492860773,4158340
bubbleSortPassPerItem,Byte,random,142613492997521,142613497222224,4224703
bubbleSortPassPerItem,Byte,random,142613497404107,142613501450838,4046731
bubbleSortPassPerItem,Byte,random,142613501629273,142613505554156,3924883
bubbleSortPassPerItem,Byte,random,142613505744758,142613509394250,3649492
bubbleSortPassPerItem,Byte,random,142613509538500,142613513549403,4010903
bubbleSortPassPerItem,Byte,random,142613513742475,142613517841583,4099108
bubbleSortPassPerItem,Byte,random,142613518070514,142613521909226,3838712
bubbleSortPassPerItem,Byte,random,142613522102418,142613526590613,4488195
bubbleSortPassPerItem,Byte,random,142613526782614,142613530427744,3645130
bubbleSortPassPerItem,Byte,random,142613530652695,142613534702238,4049543
bubbleSortPassPerItem,Byte,random,142613534947203,142613538818514,3871311
bubbleSortPassPerItem,Byte,random,142613538992981,142613542548858,3555877
bubbleSortPassPerItem,Byte,random,142613542661097,142613546468384,3807287
bubbleSortPassPerItem,Byte,random,142613546614783,142613550743024,4128241
bubbleSortPassPerItem,Byte,random,142613550932142,142613554507667,3575525
bubbleSortPassPerItem,Byte,random,142613554723884,142613558438857,3714973
bubbleSortPassPerItem,Byte,random,142613558595860,142613562052338,3456478
bubbleSortPassPerItem,Byte,random,142613562201126,142613566137971,3936845
bubbleSortPassPerItem,Byte,random,142613566331931,142613570723873,4391942
bubbleSortPassPerItem,Byte,random,142613570886427,142613575441050,4554623
bubbleSortPassPerItem,Byte,random,142613575628706,142613579606616,3977910
bubbleSortPassPerItem,Byte,random,142613579802289,142613584656483,4854194
bubbleSortPassPerItem,Byte,random,142613584850710,142613588831610,3980900
bubbleSortPassPerItem,Byte,random,142613589070523,142613593018328,3947805
bubbleSortPassPerItem,Byte,random,142613593165817,142613597316685,4150868
bubbleSortPassPerItem,Byte,random,142613597605413,142613601852379,4246966
bubbleSortPassPerItem,Byte,random,142613602046665,142613606053766,4007101
bubbleSortPassPerItem,Byte,random,142613606215087,142613609785492,3570405
bubbleSortPassPerItem,Byte,random,142613609901619,142613614104991,4203372
bubbleSortPassPerItem,Byte,random,142613614386387,142613619147321,4760934
bubbleSortPassPerItem,Byte,random,142613619372517,142613623614911,4242394
bubbleSortPassPerItem,Byte,random,142613623752455,142613627967197,4214742
bubbleSortPassPerItem,Byte,random,142613628102435,142613632439649,4337214
bubbleSortPassPerItem,Byte,random,142613632704106,142613637405046,4700940
bubbleSortPassPerItem,Byte,random,142613637549758,142613641615599,4065841
bubbleSortPassPerItem,Byte,random,142613641835865,142613646402280,4566415
bubbleSortPassPerItem,Byte,random,142613646541667,142613651477879,4936212
bubbleSortPassPerItem,Byte,random,142613651663789,142613655879410,4215621
bubbleSortPassPerItem,Byte,random,142613656051360,142613660055099,4003739
bubbleSortPassPerItem,Byte,random,142613660208149,142613663884399,3676250
bubbleSortPassPerItem,Byte,random,142613663976167,142613668695826,4719659
bubbleSortPassPerItem,Byte,random,142613668834870,142613672720974,3886104
bubbleSortPassPerItem,Byte,random,142613672867293,142613676842185,3974892
bubbleSortPassPerItem,Byte,random,142613676957455,142613681041536,4084081
bubbleSortPassPerItem,Byte,random,142613681217058,142613685589829,4372771
bubbleSortPassPerItem,Byte,random,142613685726654,142613689765922,4039268
bubbleSortPassPerItem,Byte,random,142613689979332,142613693948774,3969442
bubbleSortPassPerItem,Byte,random,142613694033993,142613698304905,4270912
bubbleSortPassPerItem,Byte,random,142613698466411,142613702789158,4322747
bubbleSortPassPerItem,Byte,random,142613702948553,142613707039782,4091229
bubbleSortPassPerItem,Byte,random,142613707266281,142613711019780,3753499
bubbleSortPassPerItem,Byte,random,142613711111034,142613715576287,4465253
bubbleSortPassPerItem,Byte,random,142613715786325,142613719817458,4031133
bubbleSortPassPerItem,Byte,random,142613719952230,142613724145343,4193113
