ALGORITHM,ELEMENT ARRAY TYPE,ARRAY ORDER,START TIME,END TIME,ELAPSED TIME
bubbleSortPassPerItem,Character,random,142475255086441,142475258846091,3759650
bubbleSortPassPerItem,Character,random,142475259514358,142475263094736,3580378
bubbleSortPassPerItem,Character,random,142475263257279,142475267517591,4260312
bubbleSortPassPerItem,Character,random,142475267651816,142475272151674,4499858
bubbleSortPassPerItem,Character,random,142475272361058,142475276322539,3961481
bubbleSortPassPerItem,Character,random,142475276608633,142475280233540,3624907
bubbleSortPassPerItem,Character,random,142475280379556,142475283753834,3374278
bubbleSortPassPerItem,Character,random,142475283942682,142475288628142,4685460
bubbleSortPassPerItem,Character,random,142475288849175,142475293278994,4429819
bubbleSortPassPerItem,Character,random,142475293465108,142475297507307,4042199
bubbleSortPassPerItem,Character,random,142475297700121,142475301789633,4089512
bubbleSortPassPerItem,Character,random,142475301996466,142475306782958,4786492
bubbleSortPassPerItem,Character,random,142475307032366,142475311164409,4132043
bubbleSortPassPerItem,Character,random,142475311378076,142475315676237,4298161
bubbleSortPassPerItem,Character,random,142475315865239,142475320138423,4273184
bubbleSortPassPerItem,Character,random,142475320312589,142475324355157,4042568
bubbleSortPassPerItem,Character,random,142475324572353,142475328989990,4417637
bubbleSortPassPerItem,Character,random,142475329353491,142475333966867,4613376
bubbleSortPassPerItem,Character,random,142475334219217,142475338752922,4533705
bubbleSortPassPerItem,Character,random,142475339012752,142475343571777,4559025
bubbleSortPassPerItem,Character,random,142475343792853,142475347547359,3754506
bubbleSortPassPerItem,Character,random,142475347701540,142475351399459,3697919
bubbleSortPassPerItem,Character,random,142475351537338,142475355916798,4379460
bubbleSortPassPerItem,Character,random,142475356204579,142475360768906,4564327
bubbleSortPassPerItem,Character,random,142475360973171,142475365152815,4179644
bubbleSortPassPerItem,Character,random,142475365301956,142475369645260,4343304
bubbleSortPassPerItem,Character,random,142475369866123,142475374135020,4268897
bubbleSortPassPerItem,Character,random,142475374334153,142475378356559,4022406
bubbleSortPassPerItem,Character,random,142475378533073,142475382628474,4095401
bubbleSortPassPerItem,Character,random,142475382758061,142475386563077,3805016
bubbleSortPassPerItem,Character,random,142475386785347,142475391642686,4857339
bubbleSortPassPerItem,Character,random,142475391873449,142475396126575,4253126
bubbleSortPassPerItem,Character,random,142475396352408,142475401724174,5371766
bubbleSortPassPerItem,Character,random,142475401954338,142475407912280,5957942
bubbleSortPassPerItem,Character,random,142475408241397,142475412689667,4448270
bubbleSortPassPerItem,Character,random,142475412868751,142475416728225,3859474
bubbleSortPassPerItem,Character,random,142475416824597,142475421116011,4291414
bubbleSortPassPerItem,Character,random,142475421263091,142475425553095,4290004
bubbleSortPassPerItem,Character,random,142475425686468,142475430167776,4481308
bubbleSortPassPerItem,Character,random,142475430281573,142475433883566,3601993
bubbleSortPassPerItem,Character,random,142475433972284,142475438425743,4453459
bubbleSortPassPerItem,Character,random,142475438588493,142475442420049,3831556
bubbleSortPassPerItem,Character,random,142475442528300,142475446132999,3604699
bubbleSortPassPerItem,Character,random,142475446275309,142475450022342,3747033
bubbleSortPassPerItem,Character,random,142475450105639,142475454035259,3929620
bubbleSortPassPerItem,Character,random,142475454173035,142475458252020,4078985
bubbleSortPassPerItem,Character,random,142475458424627,142475462020337,3595710
bubbleSortPassPerItem,Character,random,142475462132830,142475465792051,3659221
bubbleSortPassPerItem,Character,random,142475465863902,142475469595810,3731908
bubbleSortPassPerItem,Character,random,142475469763028,142475474309617,4546589
bubbleSortPassPerItem,Character,random,142475474536925,142475478479008,3942083
bubbleSortPassPerItem,Character,random,142475478630323,142475482704059,4073736
bubbleSortPassPerItem,Character,random,142475482803707,142475486459518,3655811
bubbleSortPassPerItem,Character,random,142475486599157,142475491301665,4702508
bubbleSortPassPerItem,Character,random,142475491446960,142475495292237,3845277
bubbleSortPassPerItem,Character,random,142475495384547,142475499434462,4049915
bubbleSortPassPerItem,Character,random,142475499531631,142475503484379,3952748
bubbleSortPassPerItem,Character,random,142475503604428,142475508283837,4679409
bubbleSortPassPerItem,Character,random,142475508474218,142475512486609,4012391
bubbleSortPassPerItem,Character,random,142475512577972,142475516602576,4024604
bubbleSortPassPerItem,Character,random,142475516666206,142475520902137,4235931
bubbleSortPassPerItem,Character,random,142475521095723,142475525495254,4399531
bubbleSortPassPerItem,Character,random,142475525700844,142475529431260,3730416
bubbleSortPassPerItem,Character,random,142475529516663,142475533336084,3819421
bubbleSortPassPerItem,Character,random,142475533421451,142475538120982,4699531
bubbleSortPassPerItem,Character,random,142475538242665,142475542163526,3920861
bubbleSortPassPerItem,Character,random,142475542264742,142475546015036,3750294
bubbleSortPassPerItem,Character,random,142475546101605,142475549401397,3299792
bubbleSortPassPerItem,Character,random,142475549451505,142475553095627,3644122
bubbleSortPassPerItem,Character,random,142475553247885,142475557606215,4358330
bubbleSortPassPerItem,Character,random,142475557724885,142475561327122,3602237
bubbleSortPassPerItem,Character,random,142475561414826,142475565000908,3586082
bubbleSortPassPerItem,Character,random,142475565064825,142475568492687,3427862
bubbleSortPassPerItem,Character,random,142475568549041,142475573229975,4680934
bubbleSortPassPerItem,Character,random,142475573359231,142475577050343,3691112
bubbleSortPassPerItem,Character,random,142475577165525,142475581204316,4038791
bubbleSortPassPerItem,Character,random,142475581307370,142475584959282,3651912
bubbleSortPassPerItem,Character,random,142475585028732,142475589524473,4495741
bubbleSortPassPerItem,Character,random,142475589655705,142475593382309,3726604
bubbleSortPassPerItem,Character,random,142475593489066,142475597414691,3925625
bubbleSortPassPerItem,Character,random,142475597526992,142475601089080,3562088
bubbleSortPassPerItem,Character,random,142475601217414,142475605866479,4649065
bubbleSortPassPerItem,Character,random,142475606051059,142475609609132,3558073
bubbleSortPassPerItem,Character,random,142475609723965,142475613548102,3824137
bubbleSortPassPerItem,Character,random,142475613711231,142475617167858,3456627
bubbleSortPassPerItem,Character,random,142475617233315,142475621693207,4459892
bubbleSortPassPerItem,Character,random,142475621949637,142475626172464,4222827
bubbleSortPassPerItem,Character,random,142475626381788,142475630165605,3783817
bubbleSortPassPerItem,Character,random,142475630279533,142475633774522,3494989
bubbleSortPassPerItem,Character,random,142475633842933,142475637938857,4095924
bubbleSortPassPerItem,Character,random,142475638066198,142475642270332,4204134
bubbleSortPassPerItem,Character,random,142475642384605,142475646510364,4125759
bubbleSortPassPerItem,Character,random,142475646659546,142475650691708,4032162
bubbleSortPassPerItem,Character,random,142475650804948,142475654921066,4116118
bubbleSortPassPerItem,Character,random,142475655088968,142475658755358,3666390
bubbleSortPassPerItem,Character,random,142475658867432,142475662727181,3859749
bubbleSortPassPerItem,Character,random,142475662848702,142475666629919,3781217
bubbleSortPassPerItem,Character,random,142475666718131,142475670734606,4016475
bubbleSortPassPerItem,Character,random,142475670900505,142475675022278,4121773
bubbleSortPassPerItem,Character,random,142475675186386,142475679079603,3893217
bubbleSortPassPerItem,Character,random,142475679172163,142475683029692,3857529
bubbleSortPassPerItem,Character,random,142475683127181,142475687075640,3948459
bubbleSortPassPerItem,Character,random,142475687243284,142475691430503,4187219
bubbleSortPassPerItem,Character,random,142475691581585,142475695527613,3946028
bubbleSortPassPerItem,Character,random,142475695642358,142475701075128,5432770
bubbleSortPassPerItem,Character,random,142475701200858,142475706543422,5342564
bubbleSortPassPerItem,Character,random,142475706724921,142475710408836,3683915
bubbleSortPassPerItem,Character,random,142475710603568,142475714752754,4149186
bubbleSortPassPerItem,Character,random,142475714924743,142475718839765,3915022
bubbleSortPassPerItem,Character,random,142475718967153,142475723190914,4223761
bubbleSortPassPerItem,Character,random,142475723358497,142475727416733,4058236
bubbleSortPassPerItem,Character,random,142475727543175,142475731352737,3809562
bubbleSortPassPerItem,Character,random,142475731442958,142475735361985,3919027
bubbleSortPassPerItem,Character,random,142475735498063,142475739955788,4457725
bubbleSortPassPerItem,Character,random,142475740132539,142475744447979,4315440
bubbleSortPassPerItem,Character,random,142475744590719,142475748307321,3716602
bubbleSortPassPerItem,Character,random,142475748500497,142475752272335,3771838
bubbleSortPassPerItem,Character,random,142475752378406,142475756849112,4470706
bubbleSortPassPerItem,Character,random,142475756998740,142475761084012,4085272
bubbleSortPassPerItem,Character,random,142475761244339,142475765072871,3828532
bubbleSortPassPerItem,Character,random,142475765158968,142475768875632,3716664
bubbleSortPassPerItem,Character,random,142475768971441,142475773196452,4225011
bubbleSortPassPerItem,Character,random,142475773359779,142475777541711,4181932
bubbleSortPassPerItem,Character,random,142475777672543,142475781471900,3799357
bubbleSortPassPerItem,Character,random,142475781566168,142475785498196,3932028
