ALGORITHM,ELEMENT ARRAY TYPE,ARRAY ORDER,START TIME,END TIME,ELAPSED TIME
bubbleSortPassPerItem,Double,random,142344327380246,142344330759744,3379498
bubbleSortPassPerItem,Double,random,142344331626653,142344335298622,3671969
bubbleSortPassPerItem,Double,random,142344335486607,142344338647461,3160854
bubbleSortPassPerItem,Double,random,142344338758646,142344341834877,3076231
bubbleSortPassPerItem,Double,random,142344341941617,142344345146729,3205112
bubbleSortPassPerItem,Double,random,142344345360850,142344350428808,5067958
bubbleSortPassPerItem,Double,random,142344350646979,142344354211012,3564033
bubbleSortPassPerItem,Double,random,142344354414247,142344357722785,3308538
bubbleSortPassPerItem,Double,random,142344357852565,142344360938173,3085608
bubbleSortPassPerItem,Double,random,142344361062195,142344365681459,4619264
bubbleSortPassPerItem,Double,random,142344366016561,142344369574317,3557756
bubbleSortPassPerItem,Double,random,142344369720714,142344373407307,3686593
bubbleSortPassPerItem,Double,random,142344373571599,142344376813926,3242327
bubbleSortPassPerItem,Double,random,142344376927479,142344381150057,4222578
bubbleSortPassPerItem,Double,random,142344381364553,142344385156619,3792066
bubbleSortPassPerItem,Double,random,142344385365854,142344389020492,3654638
bubbleSortPassPerItem,Double,random,142344389251459,142344392924385,3672926
bubbleSortPassPerItem,Double,random,142344393106859,142344396881150,3774291
bubbleSortPassPerItem,Double,random,142344397092345,142344401222197,4129852
bubbleSortPassPerItem,Double,random,142344401687163,142344406053160,4365997
bubbleSortPassPerItem,Double,random,142344406339707,142344410204398,3864691
bubbleSortPassPerItem,Double,random,142344410390355,142344414718049,4327694
bubbleSortPassPerItem,Double,random,142344415038949,142344418944275,3905326
bubbleSortPassPerItem,Double,random,142344419143550,142344422685561,3542011
bubbleSortPassPerItem,Double,random,142344422834392,142344426151921,3317529
bubbleSortPassPerItem,Double,random,142344426241630,142344430219397,3977767
bubbleSortPassPerItem,Double,random,142344430412144,142344434586849,4174705
bubbleSortPassPerItem,Double,random,142344434773631,142344438639923,3866292
bubbleSortPassPerItem,Double,random,142344438800175,142344442461594,3661419
bubbleSortPassPerItem,Double,random,142344442557438,142344446725376,4167938
bubbleSortPassPerItem,Double,random,142344446892431,142344451063519,4171088
bubbleSortPassPerItem,Double,random,142344451268355,142344455423453,4155098
bubbleSortPassPerItem,Double,random,142344455580129,142344459426564,3846435
bubbleSortPassPerItem,Double,random,142344459593889,142344465179238,5585349
bubbleSortPassPerItem,Double,random,142344465521261,142344471911567,6390306
bubbleSortPassPerItem,Double,random,142344472162819,142344478608017,6445198
bubbleSortPassPerItem,Double,random,142344478979525,142344485497719,6518194
bubbleSortPassPerItem,Double,random,142344485793313,142344492249202,6455889
bubbleSortPassPerItem,Double,random,142344492563494,142344497436111,4872617
bubbleSortPassPerItem,Double,random,142344497651753,142344501604397,3952644
bubbleSortPassPerItem,Double,random,142344501765439,142344505823895,4058456
bubbleSortPassPerItem,Double,random,142344505998475,142344509697575,3699100
bubbleSortPassPerItem,Double,random,142344509817599,142344513648905,3831306
bubbleSortPassPerItem,Double,random,142344513915893,142344517866685,3950792
bubbleSortPassPerItem,Double,random,142344518106918,142344521727078,3620160
bubbleSortPassPerItem,Double,random,142344521895174,142344525549914,3654740
bubbleSortPassPerItem,Double,random,142344525661328,142344529162883,3501555
bubbleSortPassPerItem,Double,random,142344529238491,142344533057470,3818979
bubbleSortPassPerItem,Double,random,142344533207616,142344536946240,3738624
bubbleSortPassPerItem,Double,random,142344537096913,142344540880586,3783673
bubbleSortPassPerItem,Double,random,142344540949639,142344544287303,3337664
bubbleSortPassPerItem,Double,random,142344544341542,142344548487317,4145775
bubbleSortPassPerItem,Double,random,142344548648707,142344552505259,3856552
bubbleSortPassPerItem,Double,random,142344552591390,142344556493620,3902230
bubbleSortPassPerItem,Double,random,142344556606319,142344560264620,3658301
bubbleSortPassPerItem,Double,random,142344560327080,142344564524687,4197607
bubbleSortPassPerItem,Double,random,142344564666845,142344568593913,3927068
bubbleSortPassPerItem,Double,random,142344568706540,142344572446849,3740309
bubbleSortPassPerItem,Double,random,142344572564340,142344576126914,3562574
bubbleSortPassPerItem,Double,random,142344576199458,142344579678932,3479474
bubbleSortPassPerItem,Double,random,142344579800914,142344583383578,3582664
bubbleSortPassPerItem,Double,random,142344583554899,142344587263461,3708562
bubbleSortPassPerItem,Double,random,142344587391500,142344590906339,3514839
bubbleSortPassPerItem,Double,random,142344590994233,142344594167660,3173427
bubbleSortPassPerItem,Double,random,142344594231827,142344598422758,4190931
bubbleSortPassPerItem,Double,random,142344598572021,142344602371522,3799501
bubbleSortPassPerItem,Double,random,142344602510975,142344606681879,4170904
bubbleSortPassPerItem,Double,random,142344606833870,142344610265002,3431132
bubbleSortPassPerItem,Double,random,142344610352254,142344614464772,4112518
bubbleSortPassPerItem,Double,random,142344614591125,142344618351837,3760712
bubbleSortPassPerItem,Double,random,142344618461297,142344622404293,3942996
bubbleSortPassPerItem,Double,random,142344622565223,142344625926857,3361634
bubbleSortPassPerItem,Double,random,142344625993064,142344629574398,3581334
bubbleSortPassPerItem,Double,random,142344629811679,142344633818523,4006844
bubbleSortPassPerItem,Double,random,142344633955111,142344638049884,4094773
bubbleSortPassPerItem,Double,random,142344638157963,142344641737196,3579233
bubbleSortPassPerItem,Double,random,142344641813619,142344645435169,3621550
bubbleSortPassPerItem,Double,random,142344645517773,142344649615440,4097667
bubbleSortPassPerItem,Double,random,142344649738839,142344653957990,4219151
bubbleSortPassPerItem,Double,random,142344654124985,142344657907297,3782312
bubbleSortPassPerItem,Double,random,142344657996050,142344661537094,3541044
bubbleSortPassPerItem,Double,random,142344661608622,142344665631570,4022948
bubbleSortPassPerItem,Double,random,142344665805091,142344669819996,4014905
bubbleSortPassPerItem,Double,random,142344669918143,142344673739923,3821780
bubbleSortPassPerItem,Double,random,142344673837252,142344677528129,3690877
bubbleSortPassPerItem,Double,random,142344677600978,142344681591315,3990337
bubbleSortPassPerItem,Double,random,142344681836114,142344686151130,4315016
bubbleSortPassPerItem,Double,random,142344686381104,142344690091427,3710323
bubbleSortPassPerItem,Double,random,142344690207435,142344694070957,3863522
bubbleSortPassPerItem,Double,random,142344694158894,142344698237570,4078676
bubbleSortPassPerItem,Double,random,142344698367582,142344702252406,3884824
bubbleSortPassPerItem,Double,random,142344702366906,142344706048368,3681462
bubbleSortPassPerItem,Double,random,142344706191734,142344709923224,3731490
bubbleSortPassPerItem,Double,random,142344710006539,142344713749956,3743417
bubbleSortPassPerItem,Double,random,142344713890728,142344717995467,4104739
bubbleSortPassPerItem,Double,random,142344718106933,142344721769776,3662843
bubbleSortPassPerItem,Double,random,142344721890333,142344725756973,3866640
bubbleSortPassPerItem,Double,random,142344725840295,142344729377822,3537527
bubbleSortPassPerItem,Double,random,142344729501181,142344733989076,4487895
bubbleSortPassPerItem,Double,random,142344734125193,142344737729887,3604694
bubbleSortPassPerItem,Double,random,142344737902679,142344742767830,4865151
bubbleSortPassPerItem,Double,random,142344742903922,142344746160684,3256762
bubbleSortPassPerItem,Double,random,142344746241301,142344750146673,3905372
bubbleSortPassPerItem,Double,random,142344750268793,142344753672556,3403763
bubbleSortPassPerItem,Double,random,142344753781670,142344757464600,3682930
bubbleSortPassPerItem,Double,random,142344757533762,142344760762596,3228834
bubbleSortPassPerItem,Double,random,142344760823175,142344764665018,3841843
bubbleSortPassPerItem,Double,random,142344764868284,142344768786747,3918463
bubbleSortPassPerItem,Double,random,142344768942719,142344772767103,3824384
bubbleSortPassPerItem,Double,random,142344772904571,142344776235512,3330941
bubbleSortPassPerItem,Double,random,142344776309394,142344779757425,3448031
bubbleSortPassPerItem,Double,random,142344779878743,142344784105345,4226602
bubbleSortPassPerItem,Double,random,142344784243844,142344787680518,3436674
