ALGORITHM,ELEMENT ARRAY TYPE,ARRAY ORDER,START TIME,END TIME,ELAPSED TIME
bubbleSortPassPerItem,int,random,140341717410316,140341721211914,3801598
bubbleSortPassPerItem,int,random,140341721878440,140341725224480,3346040
bubbleSortPassPerItem,int,random,140341725382445,140341728792141,3409696
bubbleSortPassPerItem,int,random,140341728912786,140341732177591,3264805
bubbleSortPassPerItem,int,random,140341732290964,140341735817228,3526264
bubbleSortPassPerItem,int,random,140341736062397,140341740482185,4419788
bubbleSortPassPerItem,int,random,140341740662226,140341744268769,3606543
bubbleSortPassPerItem,int,random,140341744412909,140341747769559,3356650
bubbleSortPassPerItem,int,random,140341747899408,140341751198917,3299509
bubbleSortPassPerItem,int,random,140341751367057,140341755571480,4204423
bubbleSortPassPerItem,int,random,140341755790690,140341759623983,3833293
bubbleSortPassPerItem,int,random,140341759823386,140341764127385,4303999
bubbleSortPassPerItem,int,random,140341764255537,140341768154575,3899038
bubbleSortPassPerItem,int,random,140341768295264,140341772797168,4501904
bubbleSortPassPerItem,int,random,140341772999284,140341777526766,4527482
bubbleSortPassPerItem,int,random,140341777755174,140341781844128,4088954
bubbleSortPassPerItem,int,random,140341781965107,140341785912640,3947533
bubbleSortPassPerItem,int,random,140341786112400,140341790097646,3985246
bubbleSortPassPerItem,int,random,140341790301739,140341794198952,3897213
bubbleSortPassPerItem,int,random,140341794402809,140341798426764,4023955
bubbleSortPassPerItem,int,random,140341798612059,140341802223244,3611185
bubbleSortPassPerItem,int,random,140341802508952,140341806499224,3990272
bubbleSortPassPerItem,int,random,140341806714683,140341810858611,4143928
bubbleSortPassPerItem,int,random,140341811118306,140341814763303,3644997
bubbleSortPassPerItem,int,random,140341814898525,140341818465529,3567004
bubbleSortPassPerItem,int,random,140341818583433,140341822714928,4131495
bubbleSortPassPerItem,int,random,140341822958379,140341826412113,3453734
bubbleSortPassPerItem,int,random,140341826560587,140341830086840,3526253
bubbleSortPassPerItem,int,random,140341830180160,140341833788869,3608709
bubbleSortPassPerItem,int,random,140341833913168,140341838021925,4108757
bubbleSortPassPerItem,int,random,140341838174012,140341841971901,3797889
bubbleSortPassPerItem,int,random,140341842142076,140341845761384,3619308
bubbleSortPassPerItem,int,random,140341845898243,140341849698334,3800091
bubbleSortPassPerItem,int,random,140341849791120,140341853975475,4184355
bubbleSortPassPerItem,int,random,140341854142676,140341858067273,3924597
bubbleSortPassPerItem,int,random,140341858174153,140341862089133,3914980
bubbleSortPassPerItem,int,random,140341862199595,140341865917227,3717632
bubbleSortPassPerItem,int,random,140341866018547,140341870342819,4324272
bubbleSortPassPerItem,int,random,140341870486025,140341874479358,3993333
bubbleSortPassPerItem,int,random,140341874622643,140341878803804,4181161
bubbleSortPassPerItem,int,random,140341878999341,140341882825002,3825661
bubbleSortPassPerItem,int,random,140341882953162,140341887472722,4519560
bubbleSortPassPerItem,int,random,140341887662929,140341891692583,4029654
bubbleSortPassPerItem,int,random,140341891881268,140341895652210,3770942
bubbleSortPassPerItem,int,random,140341895801715,140341899466986,3665271
bubbleSortPassPerItem,int,random,140341899551619,140341903466268,3914649
bubbleSortPassPerItem,int,random,140341903622747,140341907263136,3640389
bubbleSortPassPerItem,int,random,140341907378699,140341910938128,3559429
bubbleSortPassPerItem,int,random,140341911083059,140341914540699,3457640
bubbleSortPassPerItem,int,random,140341914614190,140341917966719,3352529
bubbleSortPassPerItem,int,random,140341918024971,140341922247111,4222140
bubbleSortPassPerItem,int,random,140341922393896,140341926092550,3698654
bubbleSortPassPerItem,int,random,140341926211572,140341930291165,4079593
bubbleSortPassPerItem,int,random,140341930382338,140341934319926,3937588
