bubbleSortPassPerItem, Integer, random, 123017615666768, 123017619139916, 3473148
bubbleSortPassPerItem, Integer, random, 123017620066907, 123017623499454, 3432547
bubbleSortPassPerItem, Integer, random, 123017623763400, 123017627050419, 3287019
bubbleSortPassPerItem, Integer, random, 123017627171380, 123017630529344, 3357964
bubbleSortPassPerItem, Integer, random, 123017630669549, 123017634109954, 3440405
bubbleSortPassPerItem, Integer, random, 123017634271835, 123017638092937, 3821102
bubbleSortPassPerItem, Integer, random, 123017638394379, 123017641974918, 3580539
bubbleSortPassPerItem, Integer, random, 123017642162223, 123017645535706, 3373483
bubbleSortPassPerItem, Integer, random, 123017645649418, 123017649149495, 3500077
bubbleSortPassPerItem, Integer, random, 123017649270001, 123017653041217, 3771216
bubbleSortPassPerItem, Integer, random, 123017653262251, 123017656822070, 3559819
bubbleSortPassPerItem, Integer, random, 123017656995057, 123017660372046, 3376989
bubbleSortPassPerItem, Integer, random, 123017660493108, 123017663814491, 3321383
bubbleSortPassPerItem, Integer, random, 123017663919064, 123017667529280, 3610216
bubbleSortPassPerItem, Integer, random, 123017667716116, 123017671394723, 3678607
bubbleSortPassPerItem, Integer, random, 123017671585479, 123017675322801, 3737322
bubbleSortPassPerItem, Integer, random, 123017675480493, 123017679032060, 3551567
bubbleSortPassPerItem, Integer, random, 123017679149519, 123017682691323, 3541804
bubbleSortPassPerItem, Integer, random, 123017682819654, 123017686663259, 3843605
bubbleSortPassPerItem, Integer, random, 123017686851288, 123017691273364, 4422076
bubbleSortPassPerItem, Integer, random, 123017691516072, 123017695150540, 3634468
bubbleSortPassPerItem, Integer, random, 123017695340282, 123017699095916, 3755634
bubbleSortPassPerItem, Integer, random, 123017699244546, 123017703105493, 3860947
bubbleSortPassPerItem, Integer, random, 123017703389750, 123017706956305, 3566555
bubbleSortPassPerItem, Integer, random, 123017707103935, 123017710678003, 3574068
bubbleSortPassPerItem, Integer, random, 123017710814285, 123017715301289, 4487004
bubbleSortPassPerItem, Integer, random, 123017715418941, 123017719272614, 3853673
bubbleSortPassPerItem, Integer, random, 123017719476823, 123017722956715, 3479892
bubbleSortPassPerItem, Integer, random, 123017723147619, 123017726607752, 3460133
bubbleSortPassPerItem, Integer, random, 123017726734630, 123017730102006, 3367376
bubbleSortPassPerItem, Integer, random, 123017730187439, 123017734319887, 4132448
bubbleSortPassPerItem, Integer, random, 123017734425497, 123017738173741, 3748244
bubbleSortPassPerItem, Integer, random, 123017738298485, 123017742364080, 4065595
bubbleSortPassPerItem, Integer, random, 123017742486340, 123017745814696, 3328356
bubbleSortPassPerItem, Integer, random, 123017745906762, 123017749226318, 3319556
bubbleSortPassPerItem, Integer, random, 123017749292474, 123017753383079, 4090605
bubbleSortPassPerItem, Integer, random, 123017753476981, 123017756832134, 3355153
bubbleSortPassPerItem, Integer, random, 123017756931004, 123017760281470, 3350466
bubbleSortPassPerItem, Integer, random, 123017760353410, 123017763589831, 3236421
bubbleSortPassPerItem, Integer, random, 123017763646639, 123017766941546, 3294907
bubbleSortPassPerItem, Integer, random, 123017767024821, 123017770925700, 3900879
bubbleSortPassPerItem, Integer, random, 123017771084856, 123017774544205, 3459349
bubbleSortPassPerItem, Integer, random, 123017774638529, 123017778985107, 4346578
bubbleSortPassPerItem, Integer, random, 123017779233537, 123017784337989, 5104452
bubbleSortPassPerItem, Integer, random, 123017784656890, 123017790480826, 5823936
bubbleSortPassPerItem, Integer, random, 123017790680888, 123017794232117, 3551229
bubbleSortPassPerItem, Integer, random, 123017794344800, 123017798028050, 3683250
bubbleSortPassPerItem, Integer, random, 123017798172637, 123017802527008, 4354371
bubbleSortPassPerItem, Integer, random, 123017802898658, 123017807077037, 4178379
bubbleSortPassPerItem, Integer, random, 123017807219955, 123017810564234, 3344279
