bubbleSortPassPerItem, String, random, 123212273359633, 123212280209614, 6849981
bubbleSortPassPerItem, String, random, 123212280974478, 123212288421889, 7447411
bubbleSortPassPerItem, String, random, 123212288592889, 123212295361471, 6768582
bubbleSortPassPerItem, String, random, 123212295497887, 123212302564898, 7067011
bubbleSortPassPerItem, String, random, 123212302745940, 123212309737225, 6991285
bubbleSortPassPerItem, String, random, 123212310011546, 123212316809170, 6797624
bubbleSortPassPerItem, String, random, 123212316926733, 123212324980623, 8053890
bubbleSortPassPerItem, String, random, 123212325194543, 123212333777548, 8583005
bubbleSortPassPerItem, String, random, 123212334115073, 123212342808185, 8693112
bubbleSortPassPerItem, String, random, 123212342993374, 123212349935552, 6942178
bubbleSortPassPerItem, String, random, 123212350162637, 123212358251845, 8089208
bubbleSortPassPerItem, String, random, 123212358629456, 123212365729783, 7100327
bubbleSortPassPerItem, String, random, 123212365835994, 123212373254985, 7418991
bubbleSortPassPerItem, String, random, 123212373424035, 123212380247334, 6823299
bubbleSortPassPerItem, String, random, 123212380359319, 123212387735371, 7376052
bubbleSortPassPerItem, String, random, 123212387931632, 123212394836720, 6905088
bubbleSortPassPerItem, String, random, 123212394977365, 123212401756010, 6778645
bubbleSortPassPerItem, String, random, 123212401862795, 123212409036736, 7173941
bubbleSortPassPerItem, String, random, 123212409246064, 123212415933261, 6687197
bubbleSortPassPerItem, String, random, 123212416093162, 123212423528409, 7435247
bubbleSortPassPerItem, String, random, 123212423780109, 123212430620799, 6840690
bubbleSortPassPerItem, String, random, 123212430733419, 123212438246573, 7513154
bubbleSortPassPerItem, String, random, 123212438425680, 123212445307664, 6881984
bubbleSortPassPerItem, String, random, 123212445434840, 123212452324477, 6889637
bubbleSortPassPerItem, String, random, 123212452548294, 123212459594227, 7045933
bubbleSortPassPerItem, String, random, 123212459738119, 123212466394429, 6656310
bubbleSortPassPerItem, String, random, 123212466506407, 123212474073986, 7567579
bubbleSortPassPerItem, String, random, 123212474256774, 123212481039294, 6782520
bubbleSortPassPerItem, String, random, 123212481121244, 123212489147453, 8026209
bubbleSortPassPerItem, String, random, 123212489331606, 123212496348278, 7016672
bubbleSortPassPerItem, String, random, 123212496476510, 123212504101011, 7624501
bubbleSortPassPerItem, String, random, 123212504384202, 123212512256492, 7872290
bubbleSortPassPerItem, String, random, 123212512432892, 123212519738386, 7305494
bubbleSortPassPerItem, String, random, 123212519988178, 123212527535519, 7547341
bubbleSortPassPerItem, String, random, 123212527663766, 123212534607209, 6943443
bubbleSortPassPerItem, String, random, 123212534731764, 123212542442187, 7710423
bubbleSortPassPerItem, String, random, 123212542602840, 123212549551721, 6948881
bubbleSortPassPerItem, String, random, 123212549629119, 123212557248548, 7619429
bubbleSortPassPerItem, String, random, 123212557388853, 123212564352493, 6963640
bubbleSortPassPerItem, String, random, 123212564435739, 123212572035936, 7600197
bubbleSortPassPerItem, String, random, 123212572187787, 123212578988671, 6800884
bubbleSortPassPerItem, String, random, 123212579112742, 123212586643185, 7530443
bubbleSortPassPerItem, String, random, 123212586804690, 123212594140188, 7335498
bubbleSortPassPerItem, String, random, 123212594309974, 123212601325718, 7015744
bubbleSortPassPerItem, String, random, 123212601460188, 123212609077803, 7617615
bubbleSortPassPerItem, String, random, 123212609208717, 123212616897828, 7689111
bubbleSortPassPerItem, String, random, 123212616985787, 123212624940185, 7954398
bubbleSortPassPerItem, String, random, 123212625075575, 123212631967378, 6891803
bubbleSortPassPerItem, String, random, 123212632088625, 123212640493880, 8405255
bubbleSortPassPerItem, String, random, 123212640633472, 123212647522186, 6888714
bubbleSortPassPerItem, String, random, 123212647588749, 123212655860046, 8271297
bubbleSortPassPerItem, String, random, 123212656147875, 123212663237429, 7089554
bubbleSortPassPerItem, String, random, 123212663346134, 123212670755067, 7408933
bubbleSortPassPerItem, String, random, 123212670997974, 123212678222769, 7224795
bubbleSortPassPerItem, String, random, 123212678330707, 123212685756926, 7426219
bubbleSortPassPerItem, String, random, 123212685879518, 123212693323347, 7443829
bubbleSortPassPerItem, String, random, 123212693460232, 123212700281767, 6821535
bubbleSortPassPerItem, String, random, 123212700343423, 123212707964804, 7621381
bubbleSortPassPerItem, String, random, 123212708249727, 123212714989212, 6739485
bubbleSortPassPerItem, String, random, 123212715052266, 123212722880561, 7828295
bubbleSortPassPerItem, String, random, 123212723000299, 123212729926845, 6926546
bubbleSortPassPerItem, String, random, 123212730024310, 123212737705391, 7681081
bubbleSortPassPerItem, String, random, 123212737812984, 123212744792285, 6979301
bubbleSortPassPerItem, String, random, 123212744971733, 123212752660439, 7688706
bubbleSortPassPerItem, String, random, 123212752914239, 123212760098048, 7183809
bubbleSortPassPerItem, String, random, 123212760166389, 123212767039689, 6873300
bubbleSortPassPerItem, String, random, 123212767097750, 123212774281759, 7184009
bubbleSortPassPerItem, String, random, 123212774355409, 123212781163640, 6808231
bubbleSortPassPerItem, String, random, 123212781222452, 123212788052780, 6830328
bubbleSortPassPerItem, String, random, 123212788125282, 123212794779064, 6653782
bubbleSortPassPerItem, String, random, 123212794831776, 123212801646172, 6814396
bubbleSortPassPerItem, String, random, 123212801699170, 123212809916235, 8217065
bubbleSortPassPerItem, String, random, 123212810068586, 123212817110038, 7041452
bubbleSortPassPerItem, String, random, 123212817239296, 123212825200052, 7960756
bubbleSortPassPerItem, String, random, 123212825342608, 123212832316695, 6974087
bubbleSortPassPerItem, String, random, 123212832419457, 123212840298914, 7879457
bubbleSortPassPerItem, String, random, 123212840462501, 123212847745240, 7282739
bubbleSortPassPerItem, String, random, 123212847925301, 123212855164743, 7239442
bubbleSortPassPerItem, String, random, 123212855300930, 123212864286798, 8985868
bubbleSortPassPerItem, String, random, 123212864435266, 123212872110003, 7674737
bubbleSortPassPerItem, String, random, 123212872234821, 123212880686345, 8451524
bubbleSortPassPerItem, String, random, 123212880827119, 123212888449949, 7622830
bubbleSortPassPerItem, String, random, 123212888567339, 123212896405505, 7838166
bubbleSortPassPerItem, String, random, 123212896557862, 123212904762870, 8205008
bubbleSortPassPerItem, String, random, 123212904974184, 123212912154336, 7180152
bubbleSortPassPerItem, String, random, 123212912255041, 123212919263964, 7008923
bubbleSortPassPerItem, String, random, 123212919383771, 123212927449855, 8066084
bubbleSortPassPerItem, String, random, 123212927617092, 123212934844245, 7227153
bubbleSortPassPerItem, String, random, 123212935007665, 123212942964594, 7956929
bubbleSortPassPerItem, String, random, 123212943108725, 123212950092913, 6984188
bubbleSortPassPerItem, String, random, 123212950162781, 123212958141363, 7978582
bubbleSortPassPerItem, String, random, 123212958290472, 123212965309875, 7019403
