bubbleSortPassPerItem, Byte, random, 129893620813281, 129893939565640, 318752359
bubbleSortPassPerItem, Byte, random, 129893940312279, 129894259986659, 319674380
bubbleSortPassPerItem, Byte, random, 129894260173528, 129894586384598, 326211070
bubbleSortPassPerItem, Byte, random, 129894586587365, 129894910665203, 324077838
bubbleSortPassPerItem, Byte, random, 129894910852882, 129895235682715, 324829833
bubbleSortPassPerItem, Byte, random, 129895235986687, 129895555206495, 319219808
bubbleSortPassPerItem, Byte, random, 129895555401762, 129895874163246, 318761484
bubbleSortPassPerItem, Byte, random, 129895874367372, 129896193812218, 319444846
bubbleSortPassPerItem, Byte, random, 129896193973534, 129896512748840, 318775306
bubbleSortPassPerItem, Byte, random, 129896512910384, 129896831993407, 319083023
bubbleSortPassPerItem, Byte, random, 129896832177633, 129897151261739, 319084106
bubbleSortPassPerItem, Byte, random, 129897151435647, 129897470239814, 318804167
bubbleSortPassPerItem, Byte, random, 129897470432790, 129897789246579, 318813789
bubbleSortPassPerItem, Byte, random, 129897789442656, 129898108229303, 318786647
bubbleSortPassPerItem, Byte, random, 129898108431222, 129898426983458, 318552236
bubbleSortPassPerItem, Byte, random, 129898427168887, 129898746049584, 318880697
bubbleSortPassPerItem, Byte, random, 129898746223862, 129899064781628, 318557766
bubbleSortPassPerItem, Byte, random, 129899064938593, 129899384784294, 319845701
bubbleSortPassPerItem, Byte, random, 129899384944686, 129899704012104, 319067418
bubbleSortPassPerItem, Byte, random, 129899704197840, 129900024223764, 320025924
bubbleSortPassPerItem, Byte, random, 129900024463001, 129900343947855, 319484854
bubbleSortPassPerItem, Byte, random, 129900344156865, 129900665616670, 321459805
bubbleSortPassPerItem, Byte, random, 129900665801776, 129900985522977, 319721201
bubbleSortPassPerItem, Byte, random, 129900985701481, 129901304792396, 319090915
bubbleSortPassPerItem, Byte, random, 129901304983916, 129901623758907, 318774991
bubbleSortPassPerItem, Byte, random, 129901623936068, 129901947240512, 323304444
bubbleSortPassPerItem, Byte, random, 129901947499558, 129902271008056, 323508498
bubbleSortPassPerItem, Byte, random, 129902271195288, 129902590484912, 319289624
bubbleSortPassPerItem, Byte, random, 129902590680107, 129902909955519, 319275412
bubbleSortPassPerItem, Byte, random, 129902910114194, 129903230080582, 319966388
bubbleSortPassPerItem, Byte, random, 129903230256726, 129903549199606, 318942880
bubbleSortPassPerItem, Byte, random, 129903549383349, 129903868659591, 319276242
bubbleSortPassPerItem, Byte, random, 129903868815374, 129904188533922, 319718548
bubbleSortPassPerItem, Byte, random, 129904188709361, 129904510479693, 321770332
bubbleSortPassPerItem, Byte, random, 129904510679850, 129904830756276, 320076426
bubbleSortPassPerItem, Byte, random, 129904830908259, 129905151096904, 320188645
bubbleSortPassPerItem, Byte, random, 129905151251823, 129905471195838, 319944015
bubbleSortPassPerItem, Byte, random, 129905471337489, 129905793843427, 322505938
bubbleSortPassPerItem, Byte, random, 129905793998439, 129906114154885, 320156446
bubbleSortPassPerItem, Byte, random, 129906114306817, 129906437950184, 323643367
bubbleSortPassPerItem, Byte, random, 129906438093442, 129906757168717, 319075275
bubbleSortPassPerItem, Byte, random, 129906757323110, 129907076626459, 319303349
bubbleSortPassPerItem, Byte, random, 129907076764546, 129907396144070, 319379524
bubbleSortPassPerItem, Byte, random, 129907396370858, 129907715620226, 319249368
bubbleSortPassPerItem, Byte, random, 129907715797601, 129908035106240, 319308639
bubbleSortPassPerItem, Byte, random, 129908035249513, 129908354369026, 319119513
bubbleSortPassPerItem, Byte, random, 129908354566673, 129908673447231, 318880558
bubbleSortPassPerItem, Byte, random, 129908673558268, 129908993233372, 319675104
bubbleSortPassPerItem, Byte, random, 129908993373734, 129909312872277, 319498543
