bubbleSortPassPerItem, Character, random, 129437050180447, 129437308510234, 258329787
bubbleSortPassPerItem, Character, random, 129437309169795, 129437567570694, 258400899
bubbleSortPassPerItem, Character, random, 129437567730764, 129437828222256, 260491492
bubbleSortPassPerItem, Character, random, 129437828411928, 129438089538980, 261127052
bubbleSortPassPerItem, Character, random, 129438089730730, 129438347234681, 257503951
bubbleSortPassPerItem, Character, random, 129438347416842, 129438605477999, 258061157
bubbleSortPassPerItem, Character, random, 129438605674639, 129438861529368, 255854729
bubbleSortPassPerItem, Character, random, 129438861750524, 129439118030032, 256279508
bubbleSortPassPerItem, Character, random, 129439118170873, 129439382210970, 264040097
bubbleSortPassPerItem, Character, random, 129439382369757, 129439639487128, 257117371
bubbleSortPassPerItem, Character, random, 129439639711101, 129439895692752, 255981651
bubbleSortPassPerItem, Character, random, 129439895925577, 129440153244255, 257318678
bubbleSortPassPerItem, Character, random, 129440153392964, 129440409463003, 256070039
bubbleSortPassPerItem, Character, random, 129440409629937, 129440666461081, 256831144
bubbleSortPassPerItem, Character, random, 129440666631248, 129440922772508, 256141260
bubbleSortPassPerItem, Character, random, 129440922945602, 129441180817783, 257872181
bubbleSortPassPerItem, Character, random, 129441180970584, 129441437391634, 256421050
bubbleSortPassPerItem, Character, random, 129441437529473, 129441695146852, 257617379
bubbleSortPassPerItem, Character, random, 129441695316374, 129441953589991, 258273617
bubbleSortPassPerItem, Character, random, 129441953743785, 129442212913551, 259169766
bubbleSortPassPerItem, Character, random, 129442213110451, 129442472567442, 259456991
bubbleSortPassPerItem, Character, random, 129442472718266, 129442732576898, 259858632
bubbleSortPassPerItem, Character, random, 129442732744283, 129442992472046, 259727763
bubbleSortPassPerItem, Character, random, 129442992709612, 129443252689876, 259980264
bubbleSortPassPerItem, Character, random, 129443252831590, 129443550315344, 297483754
bubbleSortPassPerItem, Character, random, 129443550502644, 129443877150269, 326647625
bubbleSortPassPerItem, Character, random, 129443877333637, 129444203937318, 326603681
bubbleSortPassPerItem, Character, random, 129444204099527, 129444530190753, 326091226
bubbleSortPassPerItem, Character, random, 129444530366928, 129444852042535, 321675607
bubbleSortPassPerItem, Character, random, 129444852209916, 129445171834838, 319624922
bubbleSortPassPerItem, Character, random, 129445172010315, 129445497085960, 325075645
bubbleSortPassPerItem, Character, random, 129445497280217, 129445823222281, 325942064
bubbleSortPassPerItem, Character, random, 129445823381889, 129446150169494, 326787605
bubbleSortPassPerItem, Character, random, 129446150376453, 129446468376205, 317999752
