bubbleSortPassPerItem, Double, random, 128747978508340, 128748334980870, 356472530
bubbleSortPassPerItem, Double, random, 128748335640742, 128748692125078, 356484336
bubbleSortPassPerItem, Double, random, 128748692316990, 128749052755938, 360438948
bubbleSortPassPerItem, Double, random, 128749052970141, 128749412757227, 359787086
bubbleSortPassPerItem, Double, random, 128749412964152, 128749770784693, 357820541
bubbleSortPassPerItem, Double, random, 128749770982009, 128750127686136, 356704127
bubbleSortPassPerItem, Double, random, 128750127867581, 128750484549053, 356681472
bubbleSortPassPerItem, Double, random, 128750484750997, 128750841371159, 356620162
bubbleSortPassPerItem, Double, random, 128750841552854, 128751199772052, 358219198
bubbleSortPassPerItem, Double, random, 128751199983547, 128751559120302, 359136755
bubbleSortPassPerItem, Double, random, 128751559322823, 128751918475626, 359152803
bubbleSortPassPerItem, Double, random, 128751918676978, 128752278040811, 359363833
bubbleSortPassPerItem, Double, random, 128752278220909, 128752637506956, 359286047
bubbleSortPassPerItem, Double, random, 128752637709653, 128752996817912, 359108259
bubbleSortPassPerItem, Double, random, 128752997010317, 128753355959509, 358949192
bubbleSortPassPerItem, Double, random, 128753356181934, 128753717043826, 360861892
bubbleSortPassPerItem, Double, random, 128753717316724, 128754085770478, 368453754
bubbleSortPassPerItem, Double, random, 128754085975465, 128754458465990, 372490525
bubbleSortPassPerItem, Double, random, 128754458658148, 128754862635808, 403977660
bubbleSortPassPerItem, Double, random, 128754862829997, 128755226369329, 363539332
bubbleSortPassPerItem, Double, random, 128755226591421, 128755586230757, 359639336
bubbleSortPassPerItem, Double, random, 128755586457854, 128755945972878, 359515024
bubbleSortPassPerItem, Double, random, 128755946158603, 128756304219214, 358060611
bubbleSortPassPerItem, Double, random, 128756304387088, 128756661624863, 357237775
bubbleSortPassPerItem, Double, random, 128756661771049, 128757016752046, 354980997
bubbleSortPassPerItem, Double, random, 128757016918431, 128757372037735, 355119304
bubbleSortPassPerItem, Double, random, 128757372223251, 128757727839017, 355615766
bubbleSortPassPerItem, Double, random, 128757727968698, 128758082214925, 354246227
bubbleSortPassPerItem, Double, random, 128758082331588, 128758433142453, 350810865
bubbleSortPassPerItem, Double, random, 128758433269898, 128758783348617, 350078719
