bubbleSortPassPerItem, int, random, 126508379448208, 126508759327590, 379879382
bubbleSortPassPerItem, int, random, 126508760337900, 126509163367025, 403029125
bubbleSortPassPerItem, int, random, 126509163580693, 126509531891546, 368310853
bubbleSortPassPerItem, int, random, 126509532244388, 126509884814963, 352570575
bubbleSortPassPerItem, int, random, 126509885012630, 126510242579066, 357566436
bubbleSortPassPerItem, int, random, 126510242923461, 126510601271378, 358347917
bubbleSortPassPerItem, int, random, 126510601463343, 126510958572497, 357109154
bubbleSortPassPerItem, int, random, 126510958859952, 126511314913532, 356053580
bubbleSortPassPerItem, int, random, 126511315129941, 126511666578455, 351448514
bubbleSortPassPerItem, int, random, 126511666790842, 126512021941689, 355150847
bubbleSortPassPerItem, int, random, 126512022142600, 126512378353387, 356210787
bubbleSortPassPerItem, int, random, 126512378682564, 126512735987325, 357304761
bubbleSortPassPerItem, int, random, 126512736328539, 126513090693549, 354365010
bubbleSortPassPerItem, int, random, 126513090888141, 126513442738666, 351850525
bubbleSortPassPerItem, int, random, 126513442929574, 126513793883067, 350953493
bubbleSortPassPerItem, int, random, 126513794048720, 126514161758533, 367709813
bubbleSortPassPerItem, int, random, 126514162004244, 126514512284920, 350280676
bubbleSortPassPerItem, int, random, 126514512492474, 126514863233187, 350740713
bubbleSortPassPerItem, int, random, 126514863432064, 126515214459437, 351027373
bubbleSortPassPerItem, int, random, 126515214852614, 126515586340686, 371488072
bubbleSortPassPerItem, int, random, 126515586586879, 126515944747334, 358160455
bubbleSortPassPerItem, int, random, 126515944932992, 126516300852965, 355919973
bubbleSortPassPerItem, int, random, 126516301095317, 126516660255207, 359159890
bubbleSortPassPerItem, int, random, 126516660423086, 126517016220046, 355796960
bubbleSortPassPerItem, int, random, 126517016543943, 126517372145221, 355601278
bubbleSortPassPerItem, int, random, 126517372337049, 126517721716076, 349379027
bubbleSortPassPerItem, int, random, 126517721964988, 126518074590635, 352625647
bubbleSortPassPerItem, int, random, 126518074776188, 126518430136966, 355360778
bubbleSortPassPerItem, int, random, 126518430314950, 126518784645667, 354330717
bubbleSortPassPerItem, int, random, 126518784930507, 126519159747823, 374817316
bubbleSortPassPerItem, int, random, 126519159974242, 126519515016393, 355042151
bubbleSortPassPerItem, int, random, 126519515190882, 126519870928794, 355737912
bubbleSortPassPerItem, int, random, 126519871109845, 126520223317359, 352207514
bubbleSortPassPerItem, int, random, 126520223507324, 126520575400698, 351893374
bubbleSortPassPerItem, int, random, 126520575566342, 126520930155774, 354589432
bubbleSortPassPerItem, int, random, 126520930304747, 126521286747921, 356443174
bubbleSortPassPerItem, int, random, 126521287110341, 126521646874349, 359764008
bubbleSortPassPerItem, int, random, 126521647045128, 126522019490609, 372445481
bubbleSortPassPerItem, int, random, 126522019712272, 126522380821187, 361108915
bubbleSortPassPerItem, int, random, 126522380977005, 126522741858442, 360881437
bubbleSortPassPerItem, int, random, 126522742033788, 126523095118279, 353084491
bubbleSortPassPerItem, int, random, 126523095285320, 126523447404297, 352118977
bubbleSortPassPerItem, int, random, 126523447555455, 126523796927877, 349372422
bubbleSortPassPerItem, int, random, 126523797105313, 126524168710125, 371604812
