bubbleSortPassPerItem, Byte, random, 124244627437767, 124244630815047, 3377280
bubbleSortPassPerItem, Byte, random, 124244631400004, 124244634616438, 3216434
bubbleSortPassPerItem, Byte, random, 124244634739145, 124244639277243, 4538098
bubbleSortPassPerItem, Byte, random, 124244639519787, 124244643047049, 3527262
bubbleSortPassPerItem, Byte, random, 124244643230070, 124244646552254, 3322184
bubbleSortPassPerItem, Byte, random, 124244646693229, 124244651210713, 4517484
bubbleSortPassPerItem, Byte, random, 124244651434372, 124244656492718, 5058346
bubbleSortPassPerItem, Byte, random, 124244656719199, 124244660440304, 3721105
bubbleSortPassPerItem, Byte, random, 124244660618554, 124244663823239, 3204685
bubbleSortPassPerItem, Byte, random, 124244663923434, 124244668348523, 4425089
bubbleSortPassPerItem, Byte, random, 124244668654177, 124244672854399, 4200222
bubbleSortPassPerItem, Byte, random, 124244673089021, 124244676693665, 3604644
bubbleSortPassPerItem, Byte, random, 124244676851899, 124244680244702, 3392803
bubbleSortPassPerItem, Byte, random, 124244680448670, 124244683762830, 3314160
bubbleSortPassPerItem, Byte, random, 124244683873826, 124244687618220, 3744394
bubbleSortPassPerItem, Byte, random, 124244687798790, 124244692480707, 4681917
bubbleSortPassPerItem, Byte, random, 124244692795205, 124244697713438, 4918233
bubbleSortPassPerItem, Byte, random, 124244697949894, 124244701819678, 3869784
bubbleSortPassPerItem, Byte, random, 124244702101736, 124244706805258, 4703522
bubbleSortPassPerItem, Byte, random, 124244707067106, 124244712505093, 5437987
bubbleSortPassPerItem, Byte, random, 124244712816136, 124244718948099, 6131963
bubbleSortPassPerItem, Byte, random, 124244719403041, 124244725801725, 6398684
bubbleSortPassPerItem, Byte, random, 124244726088248, 124244732035855, 5947607
bubbleSortPassPerItem, Byte, random, 124244732209488, 124244735394523, 3185035
bubbleSortPassPerItem, Byte, random, 124244735473866, 124244739552029, 4078163
bubbleSortPassPerItem, Byte, random, 124244739711952, 124244743270193, 3558241
bubbleSortPassPerItem, Byte, random, 124244743478389, 124244747577527, 4099138
bubbleSortPassPerItem, Byte, random, 124244747708657, 124244750980512, 3271855
bubbleSortPassPerItem, Byte, random, 124244751051460, 124244754824358, 3772898
bubbleSortPassPerItem, Byte, random, 124244755015263, 124244758520733, 3505470
bubbleSortPassPerItem, Byte, random, 124244758704803, 124244762188063, 3483260
bubbleSortPassPerItem, Byte, random, 124244762276993, 124244767047814, 4770821
bubbleSortPassPerItem, Byte, random, 124244767253485, 124244772021702, 4768217
bubbleSortPassPerItem, Byte, random, 124244772261466, 124244776187835, 3926369
bubbleSortPassPerItem, Byte, random, 124244776330385, 124244779611930, 3281545
bubbleSortPassPerItem, Byte, random, 124244779744635, 124244783137952, 3393317
bubbleSortPassPerItem, Byte, random, 124244783231047, 124244786799222, 3568175
bubbleSortPassPerItem, Byte, random, 124244786983589, 124244790494367, 3510778
bubbleSortPassPerItem, Byte, random, 124244790578544, 124244793892722, 3314178
bubbleSortPassPerItem, Byte, random, 124244793959030, 124244797173096, 3214066
bubbleSortPassPerItem, Byte, random, 124244797220078, 124244800432905, 3212827
bubbleSortPassPerItem, Byte, random, 124244800488674, 124244804828156, 4339482
bubbleSortPassPerItem, Byte, random, 124244804894809, 124244808284558, 3389749
bubbleSortPassPerItem, Byte, random, 124244808403729, 124244811591417, 3187688
bubbleSortPassPerItem, Byte, random, 124244811649744, 124244814862250, 3212506
bubbleSortPassPerItem, Byte, random, 124244814904728, 124244818092067, 3187339
bubbleSortPassPerItem, Byte, random, 124244818138114, 124244822077512, 3939398
bubbleSortPassPerItem, Byte, random, 124244822143340, 124244825502963, 3359623
bubbleSortPassPerItem, Byte, random, 124244825578021, 124244828848485, 3270464
bubbleSortPassPerItem, Byte, random, 124244828894904, 124244832037141, 3142237
bubbleSortPassPerItem, Byte, random, 124244832083214, 124244835402191, 3318977
bubbleSortPassPerItem, Byte, random, 124244835491723, 124244839234826, 3743103
bubbleSortPassPerItem, Byte, random, 124244839372083, 124244842675367, 3303284
bubbleSortPassPerItem, Byte, random, 124244842730102, 124244845935924, 3205822
bubbleSortPassPerItem, Byte, random, 124244845979567, 124244849399133, 3419566
bubbleSortPassPerItem, Byte, random, 124244849455440, 124244853087491, 3632051
bubbleSortPassPerItem, Byte, random, 124244853152977, 124244856685907, 3532930
bubbleSortPassPerItem, Byte, random, 124244856805633, 124244859945473, 3139840
bubbleSortPassPerItem, Byte, random, 124244859994661, 124244863213824, 3219163
bubbleSortPassPerItem, Byte, random, 124244863260983, 124244866448084, 3187101
bubbleSortPassPerItem, Byte, random, 124244866489279, 124244870546031, 4056752
bubbleSortPassPerItem, Byte, random, 124244870631833, 124244874097296, 3465463
bubbleSortPassPerItem, Byte, random, 124244874200838, 124244877440296, 3239458
bubbleSortPassPerItem, Byte, random, 124244877492108, 124244880701787, 3209679
bubbleSortPassPerItem, Byte, random, 124244880758063, 124244884191038, 3432975
bubbleSortPassPerItem, Byte, random, 124244884294271, 124244887867095, 3572824
bubbleSortPassPerItem, Byte, random, 124244887933189, 124244891207388, 3274199
bubbleSortPassPerItem, Byte, random, 124244891301272, 124244894567450, 3266178
bubbleSortPassPerItem, Byte, random, 124244894610726, 124244897808403, 3197677
bubbleSortPassPerItem, Byte, random, 124244897852697, 124244901086971, 3234274
bubbleSortPassPerItem, Byte, random, 124244901130680, 124244904934802, 3804122
bubbleSortPassPerItem, Byte, random, 124244905006177, 124244908330663, 3324486
bubbleSortPassPerItem, Byte, random, 124244908395903, 124244911534515, 3138612
bubbleSortPassPerItem, Byte, random, 124244911574495, 124244914720969, 3146474
bubbleSortPassPerItem, Byte, random, 124244914760599, 124244918364392, 3603793
bubbleSortPassPerItem, Byte, random, 124244918468039, 124244921844471, 3376432
bubbleSortPassPerItem, Byte, random, 124244921917404, 124244925164459, 3247055
bubbleSortPassPerItem, Byte, random, 124244925222675, 124244928469338, 3246663
bubbleSortPassPerItem, Byte, random, 124244928513303, 124244931651845, 3138542
bubbleSortPassPerItem, Byte, random, 124244931691103, 124244935327967, 3636864
bubbleSortPassPerItem, Byte, random, 124244935481667, 124244938937023, 3455356
bubbleSortPassPerItem, Byte, random, 124244939045639, 124244942334075, 3288436
bubbleSortPassPerItem, Byte, random, 124244942384853, 124244945606584, 3221731
bubbleSortPassPerItem, Byte, random, 124244945648427, 124244948843084, 3194657
bubbleSortPassPerItem, Byte, random, 124244948891607, 124244952516381, 3624774
bubbleSortPassPerItem, Byte, random, 124244952575172, 124244955792753, 3217581
bubbleSortPassPerItem, Byte, random, 124244955943621, 124244959244756, 3301135
bubbleSortPassPerItem, Byte, random, 124244959339991, 124244962701781, 3361790
bubbleSortPassPerItem, Byte, random, 124244962758066, 124244965947889, 3189823
bubbleSortPassPerItem, Byte, random, 124244965993602, 124244969701766, 3708164
bubbleSortPassPerItem, Byte, random, 124244969794614, 124244973087213, 3292599
bubbleSortPassPerItem, Byte, random, 124244973170593, 124244976474308, 3303715
bubbleSortPassPerItem, Byte, random, 124244976523533, 124244979670339, 3146806
bubbleSortPassPerItem, Byte, random, 124244979713779, 124244982932346, 3218567
bubbleSortPassPerItem, Byte, random, 124244982971919, 124244987041124, 4069205
bubbleSortPassPerItem, Byte, random, 124244987095023, 124244990428834, 3333811
bubbleSortPassPerItem, Byte, random, 124244990517371, 124244993737561, 3220190
bubbleSortPassPerItem, Byte, random, 124244993782542, 124244996972155, 3189613
bubbleSortPassPerItem, Byte, random, 124244997009498, 124245000321450, 3311952
bubbleSortPassPerItem, Byte, random, 124245000427552, 124245004473543, 4045991
bubbleSortPassPerItem, Byte, random, 124245004541893, 124245007693339, 3151446
bubbleSortPassPerItem, Byte, random, 124245007761565, 124245011019976, 3258411
bubbleSortPassPerItem, Byte, random, 124245011107604, 124245014420520, 3312916
bubbleSortPassPerItem, Byte, random, 124245014460002, 124245017691416, 3231414
bubbleSortPassPerItem, Byte, random, 124245017739738, 124245021739780, 4000042
bubbleSortPassPerItem, Byte, random, 124245021821912, 124245025051299, 3229387
bubbleSortPassPerItem, Byte, random, 124245025107033, 124245028251616, 3144583
bubbleSortPassPerItem, Byte, random, 124245028309607, 124245031545257, 3235650
bubbleSortPassPerItem, Byte, random, 124245031605132, 124245035278263, 3673131
bubbleSortPassPerItem, Byte, random, 124245035351715, 124245038738458, 3386743
bubbleSortPassPerItem, Byte, random, 124245038813224, 124245042090129, 3276905
bubbleSortPassPerItem, Byte, random, 124245042139653, 124245045329416, 3189763
bubbleSortPassPerItem, Byte, random, 124245045378361, 124245048640575, 3262214
bubbleSortPassPerItem, Byte, random, 124245048689951, 124245052366732, 3676781
bubbleSortPassPerItem, Byte, random, 124245052447253, 124245055845838, 3398585
bubbleSortPassPerItem, Byte, random, 124245056095894, 124245059309178, 3213284
bubbleSortPassPerItem, Byte, random, 124245059362890, 124245062573338, 3210448
bubbleSortPassPerItem, Byte, random, 124245062622600, 124245065828203, 3205603
bubbleSortPassPerItem, Byte, random, 124245065867636, 124245069462060, 3594424
bubbleSortPassPerItem, Byte, random, 124245069551741, 124245072905080, 3353339
bubbleSortPassPerItem, Byte, random, 124245072993558, 124245076343795, 3350237
bubbleSortPassPerItem, Byte, random, 124245076392554, 124245079540079, 3147525
bubbleSortPassPerItem, Byte, random, 124245079583671, 124245083150658, 3566987
bubbleSortPassPerItem, Byte, random, 124245083235066, 124245087144261, 3909195
bubbleSortPassPerItem, Byte, random, 124245087226282, 124245090484829, 3258547
bubbleSortPassPerItem, Byte, sorted, 124245174493259, 124245177694802, 3201543
bubbleSortPassPerItem, Byte, sorted, 124245177899927, 124245181393160, 3493233
bubbleSortPassPerItem, Byte, sorted, 124245181487969, 124245185205261, 3717292
bubbleSortPassPerItem, Byte, sorted, 124245185302635, 124245188598103, 3295468
bubbleSortPassPerItem, Byte, sorted, 124245188645824, 124245191870454, 3224630
bubbleSortPassPerItem, Byte, sorted, 124245191916145, 124245195153566, 3237421
bubbleSortPassPerItem, Byte, sorted, 124245195190912, 124245198403753, 3212841
bubbleSortPassPerItem, Byte, sorted, 124245198440434, 124245201772971, 3332537
bubbleSortPassPerItem, Byte, sorted, 124245201811986, 124245205002276, 3190290
bubbleSortPassPerItem, Byte, sorted, 124245205037482, 124245208262761, 3225279
bubbleSortPassPerItem, Byte, sorted, 124245208307374, 124245211744521, 3437147
bubbleSortPassPerItem, Byte, sorted, 124245211814098, 124245215031753, 3217655
bubbleSortPassPerItem, Byte, sorted, 124245215070570, 124245218556446, 3485876
bubbleSortPassPerItem, Byte, sorted, 124245218605537, 124245221829632, 3224095
bubbleSortPassPerItem, Byte, sorted, 124245221884276, 124245225252514, 3368238
bubbleSortPassPerItem, Byte, sorted, 124245225306742, 124245228867587, 3560845
bubbleSortPassPerItem, Byte, sorted, 124245228945198, 124245232294687, 3349489
bubbleSortPassPerItem, Byte, sorted, 124245232350266, 124245235662014, 3311748
bubbleSortPassPerItem, Byte, sorted, 124245235697656, 124245238878948, 3181292
bubbleSortPassPerItem, Byte, sorted, 124245238915717, 124245242069251, 3153534
bubbleSortPassPerItem, Byte, sorted, 124245242106977, 124245245251010, 3144033
bubbleSortPassPerItem, Byte, sorted, 124245245284965, 124245248427808, 3142843
bubbleSortPassPerItem, Byte, sorted, 124245248460295, 124245251701056, 3240761
bubbleSortPassPerItem, Byte, sorted, 124245251736497, 124245254919289, 3182792
bubbleSortPassPerItem, Byte, sorted, 124245254953351, 124245258140978, 3187627
