bubbleSortPassPerItem, Character, random, 124094194060112, 124094196948737, 2888625
bubbleSortPassPerItem, Character, random, 124094197545716, 124094200462130, 2916414
bubbleSortPassPerItem, Character, random, 124094200566413, 124094203899674, 3333261
bubbleSortPassPerItem, Character, random, 124094204097281, 124094206996735, 2899454
bubbleSortPassPerItem, Character, random, 124094207137795, 124094210032585, 2894790
bubbleSortPassPerItem, Character, random, 124094210140242, 124094213137236, 2996994
bubbleSortPassPerItem, Character, random, 124094213229499, 124094216076884, 2847385
bubbleSortPassPerItem, Character, random, 124094216192173, 124094219458380, 3266207
bubbleSortPassPerItem, Character, random, 124094219636997, 124094222929710, 3292713
bubbleSortPassPerItem, Character, random, 124094223072200, 124094225951020, 2878820
bubbleSortPassPerItem, Character, random, 124094226103666, 124094229007724, 2904058
bubbleSortPassPerItem, Character, random, 124094229096225, 124094231899833, 2803608
bubbleSortPassPerItem, Character, random, 124094231990243, 124094235000921, 3010678
bubbleSortPassPerItem, Character, random, 124094235191115, 124094238720340, 3529225
bubbleSortPassPerItem, Character, random, 124094238862337, 124094241906960, 3044623
bubbleSortPassPerItem, Character, random, 124094242017832, 124094245038675, 3020843
bubbleSortPassPerItem, Character, random, 124094245128776, 124094247931796, 2803020
bubbleSortPassPerItem, Character, random, 124094248043700, 124094250867685, 2823985
bubbleSortPassPerItem, Character, random, 124094250972351, 124094255032988, 4060637
bubbleSortPassPerItem, Character, random, 124094255262981, 124094258330904, 3067923
bubbleSortPassPerItem, Character, random, 124094258517545, 124094261496519, 2978974
bubbleSortPassPerItem, Character, random, 124094261587308, 124094264516658, 2929350
bubbleSortPassPerItem, Character, random, 124094264597284, 124094267457606, 2860322
bubbleSortPassPerItem, Character, random, 124094267535581, 124094271370452, 3834871
bubbleSortPassPerItem, Character, random, 124094271501979, 124094275289168, 3787189
bubbleSortPassPerItem, Character, random, 124094275576402, 124094278850694, 3274292
bubbleSortPassPerItem, Character, random, 124094278952268, 124094281956136, 3003868
bubbleSortPassPerItem, Character, random, 124094282018445, 124094284953342, 2934897
bubbleSortPassPerItem, Character, random, 124094285018490, 124094288758877, 3740387
bubbleSortPassPerItem, Character, random, 124094288848526, 124094291675848, 2827322
bubbleSortPassPerItem, Character, random, 124094291792499, 124094294718460, 2925961
bubbleSortPassPerItem, Character, random, 124094294801394, 124094297681727, 2880333
bubbleSortPassPerItem, Character, random, 124094297742720, 124094300705227, 2962507
bubbleSortPassPerItem, Character, random, 124094300819012, 124094304676329, 3857317
bubbleSortPassPerItem, Character, random, 124094304778208, 124094307745630, 2967422
bubbleSortPassPerItem, Character, random, 124094307833060, 124094310782688, 2949628
bubbleSortPassPerItem, Character, random, 124094310834298, 124094313646460, 2812162
bubbleSortPassPerItem, Character, random, 124094313691369, 124094316554772, 2863403
bubbleSortPassPerItem, Character, random, 124094316602874, 124094319765299, 3162425
bubbleSortPassPerItem, Character, random, 124094319850609, 124094322894261, 3043652
bubbleSortPassPerItem, Character, random, 124094322981227, 124094325895987, 2914760
bubbleSortPassPerItem, Character, random, 124094325969053, 124094328918645, 2949592
bubbleSortPassPerItem, Character, random, 124094328963800, 124094331767188, 2803388
bubbleSortPassPerItem, Character, random, 124094331814420, 124094334777301, 2962881
bubbleSortPassPerItem, Character, random, 124094334839339, 124094338307387, 3468048
bubbleSortPassPerItem, Character, random, 124094338362228, 124094341436198, 3073970
bubbleSortPassPerItem, Character, random, 124094341515034, 124094344463153, 2948119
bubbleSortPassPerItem, Character, random, 124094344508912, 124094347312294, 2803382
bubbleSortPassPerItem, Character, random, 124094347350402, 124094350204745, 2854343
bubbleSortPassPerItem, Character, random, 124094350263059, 124094354097767, 3834708
bubbleSortPassPerItem, Character, random, 124094354194332, 124094357241229, 3046897
bubbleSortPassPerItem, Character, random, 124094357350532, 124094360340873, 2990341
bubbleSortPassPerItem, Character, random, 124094360388618, 124094363193449, 2804831
